Name,Description,URL
papers-we-love,Papers from the computer science community to read and discuss.,https://github.com/papers-we-love/papers-we-love
realworld,"""The mother of all demo apps"" Exemplary fullstack Medium.com clone powered by React Angular Node Django and many more",https://github.com/gothinkster/realworld
models,Models and examples built with TensorFlow,https://github.com/tensorflow/models
HelloGitHub,:octocat: GitHub Share interesting entry-level open source projects on GitHub.,https://github.com/521xueweihan/HelloGitHub
laravel,Laravel is a web application framework with expressive elegant syntax. Weve already laid the foundation for your next big idea freeing you to create without sweating the small things.,https://github.com/laravel/laravel
LeetCodeAnimation,Demonstrate all the questions on LeetCode in the form of animation.LeetCode,https://github.com/MisterBooo/LeetCodeAnimation
free-for-dev,A list of SaaS PaaS and IaaS offerings that have free tiers of interest to devops and infradev,https://github.com/ripienaar/free-for-dev
godot,Godot Engine Multi-platform 2D and 3D game engine,https://github.com/godotengine/godot
django,The Web framework for perfectionists with deadlines.,https://github.com/django/django
every-programmer-should-know,A collection of (mostly) technical things every software developer should know about,https://github.com/mtdvio/every-programmer-should-know
svelte,Cybernetically enhanced web apps,https://github.com/sveltejs/svelte
FiraCode,Free monospaced font with programming ligatures,https://github.com/tonsky/FiraCode
Font-Awesome,The iconic SVG font and CSS toolkit,https://github.com/FortAwesome/Font-Awesome
tailwindcss,A utility-first CSS framework for rapid UI development.,https://github.com/tailwindlabs/tailwindcss
frp,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.,https://github.com/fatedier/frp
advanced-java,Core Interview Questions & Answers For Experienced Java(Backend) Developers | Java,https://github.com/doocs/advanced-java
gin,Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance get yourself some Gin.,https://github.com/gin-gonic/gin
bitcoin,Bitcoin Core integration/staging tree,https://github.com/bitcoin/bitcoin
opencv,Open Source Computer Vision Library,https://github.com/opencv/opencv
pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,https://github.com/pytorch/pytorch
nvm,Node Version Manager - POSIX-compliant bash script to manage multiple active node.js versions,https://github.com/nvm-sh/nvm
mall,mallSpringBoot+MyBatisDocker,https://github.com/macrozheng/mall
neovim,Vim-fork focused on extensibility and usability,https://github.com/neovim/neovim
awesome-vue,A curated list of awesome things related to Vue.js,https://github.com/vuejs/awesome-vue
spring-boot,Spring Boot,https://github.com/spring-projects/spring-boot
Awesome-Hacking,A collection of various awesome lists for hackers pentesters and security researchers,https://github.com/Hack-with-Github/Awesome-Hacking
hugo,The worlds fastest framework for building websites.,https://github.com/gohugoio/hugo
tauri,Build smaller faster and more secure desktop applications with a web frontend.,https://github.com/tauri-apps/tauri
iptv,Collection of publicly available IPTV channels from all over the world,https://github.com/iptv-org/iptv
json-server,Get a full fake REST API with zero coding in less than 30 seconds (seriously),https://github.com/typicode/json-server
app-ideas,A Collection of application ideas which can be used to improve your coding skills.,https://github.com/florinpop17/app-ideas
moby,Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,https://github.com/moby/moby
Front-End-Checklist,The perfect Front-End Checklist for modern websites and meticulous developers,https://github.com/thedaviddias/Front-End-Checklist
GitHub-Chinese-Top-Charts,:cn: GitHub |,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts
elasticsearch,Free and Open Distributed RESTful Search Engine,https://github.com/elastic/elasticsearch
netdata,Monitor your servers containers and applications in high-resolution and in real-time!,https://github.com/netdata/netdata
reveal.js,The HTML Presentation Framework,https://github.com/hakimel/reveal.js
flask,The Python micro framework for building web applications.,https://github.com/pallets/flask
swift,The Swift Programming Language,https://github.com/apple/swift
awesome-mac,Now we have become very big Different from the original idea. Collect premium software in various categories.,https://github.com/jaywcjlove/awesome-mac
webpack,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"" modules can be CommonJs AMD ES6 modules CSS Images JSON Coffeescript LESS ... and your custom stuff.",https://github.com/webpack/webpack
node,Everything required to run your own Base node,https://github.com/base-org/node
core,:house_with_garden: Open source home automation that puts local control and privacy first.,https://github.com/home-assistant/core
langchain,Building applications with LLMs through composability,https://github.com/langchain-ai/langchain
fastapi,FastAPI framework high performance easy to learn fast to code ready for production,https://github.com/tiangolo/fastapi
code-server,VS Code in the browser,https://github.com/coder/code-server
bun,Incredibly fast JavaScript runtime bundler test runner and package manager all in one,https://github.com/oven-sh/bun
express,Fast unopinionated minimalist web framework for node.,https://github.com/expressjs/express
Chart.js,Simple HTML5 Charts using the <canvas> tag,https://github.com/chartjs/Chart.js
redis,Redis is an in-memory database that persists on disk. The data model is key-value but many different kind of values are supported: Strings Lists Sets Sorted Sets Hashes Streams HyperLogLogs Bitmaps.,https://github.com/redis/redis
clash_for_windows_pkg,A Windows/macOS GUI based on Clash,https://github.com/Fndroid/clash_for_windows_pkg
mermaid,Generation of diagrams like flowcharts or sequence diagrams from text in a similar manner as markdown,https://github.com/mermaid-js/mermaid
protobuf,Protocol Buffers - Google's data interchange format,https://github.com/protocolbuffers/protobuf
resume.github.com,Resumes generated using the GitHub informations,https://github.com/resume/resume.github.com
interviews,Everything you need to know to get the job.,https://github.com/kdn251/interviews
cs-video-courses,List of Computer Science courses with video lectures.,https://github.com/Developer-Y/cs-video-courses
stable-diffusion,A latent text-to-image diffusion model,https://github.com/CompVis/stable-diffusion
awesome-machine-learning,A curated list of awesome Machine Learning frameworks libraries and software.,https://github.com/josephmisiti/awesome-machine-learning
redux,Predictable state container for JavaScript apps,https://github.com/reduxjs/redux
the-algorithm,Source code for Twitter's Recommendation Algorithm,https://github.com/twitter/the-algorithm
nest,A progressive Node.js framework for building efficient scalable and enterprise-grade server-side applications with TypeScript/JavaScript,https://github.com/nestjs/nest
vite,Next generation frontend tooling. It's fast!,https://github.com/vitejs/vite
atom,:atom: The hackable text editor,https://github.com/atom/atom
keras,Deep Learning for humans,https://github.com/keras-team/keras
github-readme-stats,:zap: Dynamically generated stats for your github readmes,https://github.com/anuraghazra/github-readme-stats
markdown-here,Google Chrome Firefox and Thunderbird extension that lets you write email in Markdown and render it before sending.,https://github.com/adam-p/markdown-here
angular.js,AngularJS - HTML enhanced for web apps!,https://github.com/angular/angular.js
socket.io,Realtime application framework (Node.JS server),https://github.com/socketio/socket.io
ansible,Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management in a language that approaches plain English using SSH with no agents to install on remote systems. https://docs.ansible.com.,https://github.com/ansible/ansible
architect-awesome,,https://github.com/xingshaocheng/architect-awesome
awesome-react,A collection of awesome things regarding React ecosystem,https://github.com/enaqx/awesome-react
devops-exercises,Linux Jenkins AWS SRE Prometheus Docker Python Ansible Git Kubernetes Terraform OpenStack SQL NoSQL Azure GCP DNS Elastic Network Virtualization. DevOps Interview Questions,https://github.com/bregman-arie/devops-exercises
Front-end-Developer-Interview-Questions,A list of helpful front-end related questions you can use to interview potential candidates test yourself or completely ignore.,https://github.com/h5bp/Front-end-Developer-Interview-Questions
jquery,jQuery JavaScript Library,https://github.com/jquery/jquery
33-js-concepts,33 JavaScript concepts every developer should know.,https://github.com/leonardomso/33-js-concepts
nocode,The best way to write secure and reliable applications. Write nothing; deploy nowhere.,https://github.com/kelseyhightower/nocode
awesome-interview-questions,:octocat: A curated awesome list of lists of interview questions. Feel free to contribute! :mortar_board:,https://github.com/DopplerHQ/awesome-interview-questions
lodash,A modern JavaScript utility library delivering modularity performance & extras.,https://github.com/lodash/lodash
funNLP,//ITbert&cocoNLPXLORE:NLUcs224n /+ASR + Microsoft//api()SpaCy Common Voicebert(Keyphrase)pke4cnocrOCRPython3nlpspeech-aligner: AmpliGraph: (Python)Scattertext (python)/BERT & ERNIENLPSynonymsHarvestText--word2word(Python)-62/3564/(ASR)Kashgarigpt-2TextTeaser: 14W--andSiamese bilstmTransformerHacker NewsBERTLitBankNLP100Facebook: LAMATransformer-XL/BERT/ELMo/GPTCommonsenseQAQA PDF PPTSQLNLPEDANLP mongodbULMFiT--- qingyun seqGAN-----masr: --PythonBERTConvLabrasaTensorFlowBERT/NLPTOPOpenCLaPUER++-()g2pCZincbase /jieba_fast jiebaBERTPythonStanfordNLP 0.2.0PythonNeuralNLP-NeuralClassifierNeuroNER vs. BertNER2019GPT2ML-NLP - (Machine Learning)NLPnlp4han:(//////NER/N/HMM///XLMFacebookBERT--CoupletAI - CNN+Bi-LSTM+Attention MiningZhiDaoQACorpus - 580brat rapid annotation tool: 1.4nlpallennlp:PDF GraphbrainAI&&& OCR Python() similarityjavaALBERT Transformers 2.0 Audioset Poplar 186Amazon- Python// (). wwsearchCHAMELEON 8BERTDocSearch LIDA aili - the fastest in-memory index in the East mecabPython/ (featurizer) - -()--baseline--PySS3AISS3 NLPCOPE - doccano PreNLPGPT2GPT2-chitchat(LeaderboardsDatasetsPapers)(Colab)( NLP GitHub Typo CorpusGitHub/TextCluster Short text clusterBLINKBertPuncBERTTokenizer()spaCy NLP pythonchatbot-list - (MOSNet BSSEval STOI PESQ SRMR) 138GBRoBERTa BERT-NER-PytorchBERTNER - 2019NLP Chinese medical dialogue data ()- /awesome-nlp-sentiment-analysis - LineFlowNLPNLP MedQuAD()Transfer Learning in Natural Language Processing (NLP) /TokenizersCLUENER Fine Grained Named Entity Recognition BERTNLP/nlp (Word Embedding)(NER)(Text Classificatin)(Text Generation)(Text Similarity)nlpkerastensorflow Python/NLP BlackstonespaCy pipelineNLP ELECTREA : pretrain Chinese Model albert-chinese-ner - ALBERTNER GPT2/ attnvisGPT2BERTtransformerCoVoSTFacebook-11()Jiagu - BiLSTM unetNLP CLUEDatasetSearch - NLPNLPNLP medical_NER - ()//Fortepipeline PythonPyLaiaTextFooler/Haystack(QA),https://github.com/fighting41love/funNLP
grafana,The open and composable observability and data visualization platform. Visualize metrics logs and traces from multiple sources like Prometheus Loki Elasticsearch InfluxDB Postgres and many more.,https://github.com/grafana/grafana
shadowsocks-windows,A C# port of shadowsocks,https://github.com/shadowsocks/shadowsocks-windows
supabase,The open source Firebase alternative. Follow to stay updated about our public Beta.,https://github.com/supabase/supabase
awesome-for-beginners,A list of awesome beginners-friendly projects.,https://github.com/MunGell/awesome-for-beginners
echarts,Apache ECharts is a powerful interactive charting and data visualization library for browser,https://github.com/apache/echarts
yt-dlp,A youtube-dl fork with additional features and fixes,https://github.com/yt-dlp/yt-dlp
javascript-questions,A long list of (advanced) JavaScript questions and their explanations :sparkles:,https://github.com/lydiahallie/javascript-questions
strapi,Strapi is the leading open-source headless CMS. Its 100% JavaScript/TypeScript fully customizable and developer-first.,https://github.com/strapi/strapi
HowToCook,Programmer's guide about how to cook at home (Chinese only).,https://github.com/Anduin2017/HowToCook
awesome-public-datasets,A topic-centric list of HQ open datasets.,https://github.com/awesomedata/awesome-public-datasets
scikit-learn,scikit-learn: machine learning in Python,https://github.com/scikit-learn/scikit-learn
cpython,The Python programming language,https://github.com/python/cpython
Apollo-11,Original Apollo 11 Guidance Computer (AGC) source code for the command and lunar modules.,https://github.com/chrislgarry/Apollo-11
html5-boilerplate,A professional front-end template for building fast robust and adaptable web apps or sites.,https://github.com/h5bp/html5-boilerplate
excalidraw,Virtual whiteboard for sketching hand-drawn like diagrams,https://github.com/excalidraw/excalidraw
playwright,Playwright is a framework for Web Testing and Automation. It allows testing Chromium Firefox and WebKit with a single API.,https://github.com/microsoft/playwright
gatsby,The best React-based framework with performance scalability and security built in.,https://github.com/gatsbyjs/gatsby
hoppscotch,Open source API development ecosystem - https://hoppscotch.io,https://github.com/hoppscotch/hoppscotch
fzf,:cherry_blossom: A command-line fuzzy finder,https://github.com/junegunn/fzf
syncthing,Open Source Continuous File Synchronization,https://github.com/syncthing/syncthing
superset,Apache Superset is a Data Visualization and Data Exploration Platform,https://github.com/apache/superset
manim,Animation engine for explanatory math videos,https://github.com/3b1b/manim
element,A Vue.js 2.0 UI Toolkit for Web,https://github.com/ElemeFE/element
Java,All Algorithms implemented in Java,https://github.com/TheAlgorithms/Java
ML-For-Beginners,12 weeks 26 lessons 52 quizzes classic Machine Learning for all,https://github.com/microsoft/ML-For-Beginners
rails,Ruby on Rails,https://github.com/rails/rails
tesseract,Tesseract Open Source OCR Engine (main repository),https://github.com/tesseract-ocr/tesseract
design-resources-for-developers,Curated list of design and UI resources from stock photos web templates CSS frameworks UI libraries tools and much more,https://github.com/bradtraversy/design-resources-for-developers
spring-framework,Spring Framework,https://github.com/spring-projects/spring-framework
Ventoy,A new bootable USB solution.,https://github.com/ventoy/Ventoy
awesome-nodejs,:zap: Delightful Node.js packages and resources,https://github.com/sindresorhus/awesome-nodejs
leetcode,LeetCode Solutions: A Record of My Problem Solving Journey.( leetcodeleetcode),https://github.com/azl397985856/leetcode
gpt4all,gpt4all: open-source LLM chatbots that you can run anywhere,https://github.com/nomic-ai/gpt4all
Best-websites-a-programmer-should-visit,:link: Some useful websites for programmers.,https://github.com/sdmg15/Best-websites-a-programmer-should-visit
DeepLearning-500-questions,500 1850 ............ scutjy2015@163.com Tan 2018.06,https://github.com/scutan90/DeepLearning-500-questions
normalize.css,A modern alternative to CSS resets,https://github.com/necolas/normalize.css
react-router,Declarative routing for React,https://github.com/remix-run/react-router
PayloadsAllTheThings,A list of useful payloads and bypass for Web Application Security and Pentest/CTF,https://github.com/swisskyrepo/PayloadsAllTheThings
Semantic-UI,Semantic is a UI component framework based around useful principles from natural language.,https://github.com/Semantic-Org/Semantic-UI
tabby,A terminal for a more modern age,https://github.com/Eugeny/tabby
imgui,Dear ImGui: Bloat-free Graphical User interface for C++ with minimal dependencies,https://github.com/ocornut/imgui
obs-studio,OBS Studio - Free and open source software for live streaming and screen recording,https://github.com/obsproject/obs-studio
requests,A simple yet elegant HTTP library.,https://github.com/psf/requests
prometheus,The Prometheus monitoring system and time series database.,https://github.com/prometheus/prometheus
caddy,Fast and extensible multi-platform HTTP/1-2-3 web server with automatic HTTPS,https://github.com/caddyserver/caddy
ionic-framework,A powerful cross-platform UI toolkit for building native-quality iOS Android and Progressive Web Apps with HTML CSS and JavaScript.,https://github.com/ionic-team/ionic-framework
face_recognition,The world's simplest facial recognition api for Python and the command line,https://github.com/ageitgey/face_recognition
awesome-courses,:books: List of awesome university courses for learning Computer Science!,https://github.com/prakhar1989/awesome-courses
awesome-cpp,A curated list of awesome C++ (or C) frameworks libraries resources and shiny things. Inspired by awesome-... stuff.,https://github.com/fffaraz/awesome-cpp
SecLists,SecLists is the security tester's companion. It's a collection of multiple types of lists used during security assessments collected in one place. List types include usernames passwords URLs sensitive data patterns fuzzing payloads web shells and many more.,https://github.com/danielmiessler/SecLists
alacritty,A cross-platform OpenGL terminal emulator.,https://github.com/alacritty/alacritty
material-design-icons,Material Design icons by Google,https://github.com/google/material-design-icons
localstack,A fully functional local AWS cloud stack. Develop and test your cloud & Serverless apps offline,https://github.com/localstack/localstack
awesome-flutter,An awesome list that curates the best Flutter libraries tools tutorials articles and more.,https://github.com/Solido/awesome-flutter
scrapy,Scrapy a fast high-level web crawling & scraping framework for Python.,https://github.com/scrapy/scrapy
d2l-zh,70500,https://github.com/d2l-ai/d2l-zh
openai-cookbook,Examples and guides for using the OpenAI API,https://github.com/openai/openai-cookbook
awesome-scalability,The Patterns of Scalable Reliable and Performant Large-Scale Systems,https://github.com/binhnguyennus/awesome-scalability
guava,Google core libraries for Java,https://github.com/google/guava
you-get,:arrow_double_down: Dumb downloader that scrapes the web,https://github.com/soimort/you-get
docusaurus,Easy to maintain open source documentation websites.,https://github.com/facebook/docusaurus
moment,Parse validate manipulate and display dates in javascript.,https://github.com/moment/moment
bulma,Modern CSS framework based on Flexbox,https://github.com/jgthms/bulma
nuxt,Nuxt is an intuitive and extendable way to create type-safe performant and production-grade full-stack web apps and websites with Vue 3.,https://github.com/nuxt/nuxt
git,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.,https://github.com/git/git
awesome-android-ui,A curated list of awesome Android UI/UX libraries,https://github.com/wasabeef/awesome-android-ui
jekyll,:globe_with_meridians: Jekyll is a blog-aware static site generator in Ruby,https://github.com/jekyll/jekyll
RxJava,RxJava Reactive Extensions for the JVM a library for composing asynchronous and event-based programs using observable sequences for the Java VM.,https://github.com/ReactiveX/RxJava
v2rayN,A GUI client for Windows support Xray core and v2fly core and others,https://github.com/2dust/v2rayN
rustdesk,An open-source remote desktop and alternative to TeamViewer.,https://github.com/rustdesk/rustdesk
faceswap,Deepfakes Software For All,https://github.com/deepfakes/faceswap
anime,JavaScript animation engine,https://github.com/juliangarnier/anime
clash,A rule-based tunnel in Go.,https://github.com/Dreamacro/clash
hacker-scripts,Based on a true story,https://github.com/NARKOZ/hacker-scripts
new-pac,-VPNvps/shadowsocks/ss/ssr/v2ray/goflyway/fanqiangiOSwindowsMacLinux,https://github.com/Alvin9999/new-pac
prettier,Prettier is an opinionated code formatter.,https://github.com/prettier/prettier
nerd-fonts,Iconic font aggregator collection & patcher. 3600+ icons 50+ patched fonts: Hack Source Code Pro more. Glyph collections: Font Awesome Material Design Icons Octicons & more,https://github.com/ryanoasis/nerd-fonts
kotlin,The Kotlin Programming Language.,https://github.com/JetBrains/kotlin
Real-Time-Voice-Cloning,Clone a voice in 5 seconds to generate arbitrary speech in real-time,https://github.com/CorentinJ/Real-Time-Voice-Cloning
tldr,Collaborative cheatsheets for console commands,https://github.com/tldr-pages/tldr
DefinitelyTyped,The repository for high quality TypeScript type definitions.,https://github.com/DefinitelyTyped/DefinitelyTyped
big-list-of-naughty-strings,The Big List of Naughty Strings is a list of strings which have a high probability of causing issues when used as user-input data.,https://github.com/minimaxir/big-list-of-naughty-strings
serverless,Serverless Framework Build web mobile and IoT applications with serverless architectures using AWS Lambda Azure Functions Google CloudFunctions & more!,https://github.com/serverless/serverless
gpt4free,The official gpt4free repository | various collection of powerful language models,https://github.com/xtekky/gpt4free
whisper,Robust Speech Recognition via Large-Scale Weak Supervision,https://github.com/openai/whisper
cypress,Fast easy and reliable testing for anything that runs in a browser.,https://github.com/cypress-io/cypress
rich,Rich is a Python library for rich text and beautiful formatting in the terminal.,https://github.com/Textualize/rich
chinese-poetry,The most comprehensive database of Chinese poetry 5.526. 156421050,https://github.com/chinese-poetry/chinese-poetry
traefik,The Cloud Native Application Proxy,https://github.com/traefik/traefik
learn-regex,Learn regex the easy way,https://github.com/ziishaned/learn-regex
etcd,Distributed reliable key-value store for the most critical data of a distributed system,https://github.com/etcd-io/etcd
okhttp,Squares meticulous HTTP client for the JVM Android and GraalVM.,https://github.com/square/okhttp
algorithm-visualizer,:fireworks:Interactive Online Platform that Visualizes Algorithms from Code,https://github.com/algorithm-visualizer/algorithm-visualizer
dayjs,Day.js 2kB immutable date-time library alternative to Moment.js with the same modern API,https://github.com/iamkun/dayjs
Ghost,Turn your audience into a business. Publishing memberships subscriptions and newsletters.,https://github.com/TryGhost/Ghost
mastodon,Your self-hosted globally interconnected microblogging community,https://github.com/mastodon/mastodon
awesome-ios,A curated list of awesome iOS ecosystem including Objective-C and Swift Projects,https://github.com/vsouza/awesome-ios
ChatGPT-Next-Web,A well-designed cross-platform ChatGPT UI (Web / PWA / Linux / Win / MacOS). ChatGPT,https://github.com/Yidadaa/ChatGPT-Next-Web
pdf.js,PDF Reader in JavaScript,https://github.com/mozilla/pdf.js
awesome-chatgpt-prompts-zh,ChatGPT,https://github.com/PlexPt/awesome-chatgpt-prompts-zh
meteor,Meteor the JavaScript App Platform,https://github.com/meteor/meteor
go-ethereum,Official Go implementation of the Ethereum protocol,https://github.com/ethereum/go-ethereum
pi-hole,A black hole for Internet advertisements,https://github.com/pi-hole/pi-hole
act,Run your GitHub Actions locally,https://github.com/nektos/act
gpt-engineer,Specify what you want it to build the AI asks for clarification and then builds it.,https://github.com/AntonOsika/gpt-engineer
sherlock,Hunt down social media accounts by username across social networks,https://github.com/sherlock-project/sherlock
julia,The Julia Programming Language,https://github.com/JuliaLang/julia
architecture-samples,A collection of samples to discuss and showcase different architectural tools and patterns for Android apps.,https://github.com/android/architecture-samples
v2ray-core,A platform for building proxies to bypass network restrictions.,https://github.com/v2ray/v2ray-core
bat,A cat(1) clone with wings.,https://github.com/sharkdp/bat
TensorFlow-Examples,TensorFlow Tutorial and Examples for Beginners (support TF v1 & v2),https://github.com/aymericdamien/TensorFlow-Examples
ghidra,Ghidra is a software reverse engineering (SRE) framework,https://github.com/NationalSecurityAgency/ghidra
AdminLTE,AdminLTE - Free admin dashboard template based on Bootstrap 5,https://github.com/ColorlibHQ/AdminLTE
gogs,Gogs is a painless self-hosted Git service,https://github.com/gogs/gogs
Projects,:page_with_curl: A list of practical projects that anyone can solve in any programming language.,https://github.com/karan/Projects
drawio-desktop,Official electron build of draw.io,https://github.com/jgraph/drawio-desktop
jest,Delightful JavaScript Testing.,https://github.com/jestjs/jest
parcel,The zero configuration build tool for the web.,https://github.com/parcel-bundler/parcel
mkcert,A simple zero-config tool to make locally trusted development certificates with any names you'd like.,https://github.com/FiloSottile/mkcert
Microsoft-Activation-Scripts,A Windows and Office activator using HWID / KMS38 / Online KMS activation methods with a focus on open-source code and fewer antivirus detections.,https://github.com/massgravel/Microsoft-Activation-Scripts
DeepFaceLab,DeepFaceLab is the leading software for creating deepfakes.,https://github.com/iperov/DeepFaceLab
babel,Babel is a compiler for writing next generation JavaScript.,https://github.com/babel/babel
